Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,symmetric,0.01,-7.092690140803201
75% Corpus,7,symmetric,0.31,-6.8911536709767045
75% Corpus,7,symmetric,0.61,-7.340801905158445
75% Corpus,7,symmetric,0.9099999999999999,-6.837526662140172
75% Corpus,7,symmetric,symmetric,-7.166682440537687
75% Corpus,7,asymmetric,0.01,-6.740902581519563
75% Corpus,7,asymmetric,0.31,-11.483770579290233
75% Corpus,7,asymmetric,0.61,-11.935005823189142
75% Corpus,7,asymmetric,0.9099999999999999,-11.830932255142788
75% Corpus,7,asymmetric,symmetric,-10.07124892880222
75% Corpus,8,0.01,0.01,-7.307771722365805
75% Corpus,8,0.01,0.31,-7.508995199809167
75% Corpus,8,0.01,0.61,-7.329831898035915
75% Corpus,8,0.01,0.9099999999999999,-7.350523462112269
75% Corpus,8,0.01,symmetric,-7.451405638846142
75% Corpus,8,0.31,0.01,-6.478300509887325
75% Corpus,8,0.31,0.31,-6.83932988894059
75% Corpus,8,0.31,0.61,-6.8306279293896655
75% Corpus,8,0.31,0.9099999999999999,-7.305451119533993
75% Corpus,8,0.31,symmetric,-7.207616846748928
75% Corpus,8,0.61,0.01,-6.940142404303302
75% Corpus,8,0.61,0.31,-6.325494953887562
75% Corpus,8,0.61,0.61,-5.885592176278365
75% Corpus,8,0.61,0.9099999999999999,-5.792601648631877
75% Corpus,8,0.61,symmetric,-6.770495551174115
75% Corpus,8,0.9099999999999999,0.01,-6.062586900290825
75% Corpus,8,0.9099999999999999,0.31,-5.540199521587615
75% Corpus,8,0.9099999999999999,0.61,-5.5177221779149885
75% Corpus,8,0.9099999999999999,0.9099999999999999,-5.512298446906267
75% Corpus,8,0.9099999999999999,symmetric,-5.827349478012897
75% Corpus,8,symmetric,0.01,-7.458484041997328
75% Corpus,8,symmetric,0.31,-7.589330952423531
75% Corpus,8,symmetric,0.61,-7.638469658746609
75% Corpus,8,symmetric,0.9099999999999999,-7.805131908797129
75% Corpus,8,symmetric,symmetric,-7.935105983059838
75% Corpus,8,asymmetric,0.01,-7.329679565397518
75% Corpus,8,asymmetric,0.31,-10.904447528925783
75% Corpus,8,asymmetric,0.61,-11.345114739407876
75% Corpus,8,asymmetric,0.9099999999999999,-11.200815340130362
75% Corpus,8,asymmetric,symmetric,-9.737261182435988
75% Corpus,9,0.01,0.01,-7.9689512963328
75% Corpus,9,0.01,0.31,-8.207278634549247
75% Corpus,9,0.01,0.61,-7.9206873589905875
75% Corpus,9,0.01,0.9099999999999999,-7.490067423197839
75% Corpus,9,0.01,symmetric,-8.124919783676894
75% Corpus,9,0.31,0.01,-6.662639849148929
75% Corpus,9,0.31,0.31,-7.088166151493425
75% Corpus,9,0.31,0.61,-7.317540775028446
75% Corpus,9,0.31,0.9099999999999999,-6.69217307322239
75% Corpus,9,0.31,symmetric,-7.373875117666872
75% Corpus,9,0.61,0.01,-6.926008111588513
75% Corpus,9,0.61,0.31,-6.362629469434407
75% Corpus,9,0.61,0.61,-5.634268973010876
75% Corpus,9,0.61,0.9099999999999999,-5.531242672871192
75% Corpus,9,0.61,symmetric,-6.985214181017017
75% Corpus,9,0.9099999999999999,0.01,-6.02579393723536
75% Corpus,9,0.9099999999999999,0.31,-5.580561818651654
75% Corpus,9,0.9099999999999999,0.61,-5.520248661094163
75% Corpus,9,0.9099999999999999,0.9099999999999999,-5.513888546172316
75% Corpus,9,0.9099999999999999,symmetric,-5.659816785587744
75% Corpus,9,symmetric,0.01,-7.998575019095751
75% Corpus,9,symmetric,0.31,-8.173534858567361
75% Corpus,9,symmetric,0.61,-8.132604148963448
75% Corpus,9,symmetric,0.9099999999999999,-8.122982958940733
75% Corpus,9,symmetric,symmetric,-8.324966407303894
75% Corpus,9,asymmetric,0.01,-7.249115546755099
75% Corpus,9,asymmetric,0.31,-10.433210322777493
75% Corpus,9,asymmetric,0.61,-11.076221072166
75% Corpus,9,asymmetric,0.9099999999999999,-12.013195561676119
75% Corpus,9,asymmetric,symmetric,-9.914406772701843
75% Corpus,10,0.01,0.01,-8.221256794385896
75% Corpus,10,0.01,0.31,-8.395979043056965
75% Corpus,10,0.01,0.61,-7.5688944777280085
75% Corpus,10,0.01,0.9099999999999999,-7.768877904493982
75% Corpus,10,0.01,symmetric,-8.167866123210812
75% Corpus,10,0.31,0.01,-7.124029578157524
75% Corpus,10,0.31,0.31,-6.998945153027572
75% Corpus,10,0.31,0.61,-7.221538659241408
75% Corpus,10,0.31,0.9099999999999999,-7.075603871669007
75% Corpus,10,0.31,symmetric,-7.441270295189862
75% Corpus,10,0.61,0.01,-6.800548668152546
75% Corpus,10,0.61,0.31,-6.356474138650756
75% Corpus,10,0.61,0.61,-5.629809181508567
75% Corpus,10,0.61,0.9099999999999999,-5.594787982722367
75% Corpus,10,0.61,symmetric,-6.605540765276553
75% Corpus,10,0.9099999999999999,0.01,-5.958653413656046
75% Corpus,10,0.9099999999999999,0.31,-5.52872564393788
75% Corpus,10,0.9099999999999999,0.61,-5.513520989388919
75% Corpus,10,0.9099999999999999,0.9099999999999999,-5.497437605309114
75% Corpus,10,0.9099999999999999,symmetric,-5.812500912741973
75% Corpus,10,symmetric,0.01,-8.680859053798006
75% Corpus,10,symmetric,0.31,-8.825316550989967
75% Corpus,10,symmetric,0.61,-8.166896448027845
75% Corpus,10,symmetric,0.9099999999999999,-8.730141229941843
75% Corpus,10,symmetric,symmetric,-8.505122106104098
75% Corpus,10,asymmetric,0.01,-7.866838348792169
75% Corpus,10,asymmetric,0.31,-10.681302943820018
75% Corpus,10,asymmetric,0.61,-11.382346869315327
75% Corpus,10,asymmetric,0.9099999999999999,-11.331698335151106
75% Corpus,10,asymmetric,symmetric,-9.378196907979659
100% Corpus,2,0.01,0.01,-5.126960351091089
100% Corpus,2,0.01,0.31,-5.149171122514491
100% Corpus,2,0.01,0.61,-5.7172427109234745
100% Corpus,2,0.01,0.9099999999999999,-4.963700418351284
100% Corpus,2,0.01,symmetric,-4.9273270486245995
100% Corpus,2,0.31,0.01,-5.193413450190443
100% Corpus,2,0.31,0.31,-5.387979095397522
100% Corpus,2,0.31,0.61,-4.9928876115622565
100% Corpus,2,0.31,0.9099999999999999,-5.250355615828912
100% Corpus,2,0.31,symmetric,-5.156915960910576
100% Corpus,2,0.61,0.01,-5.278674048603278
100% Corpus,2,0.61,0.31,-5.251657414476014
100% Corpus,2,0.61,0.61,-5.37882621242913
100% Corpus,2,0.61,0.9099999999999999,-5.254955288874669
100% Corpus,2,0.61,symmetric,-5.339255036251639
100% Corpus,2,0.9099999999999999,0.01,-5.336566246172882
100% Corpus,2,0.9099999999999999,0.31,-5.425630837383585
100% Corpus,2,0.9099999999999999,0.61,-5.253172269997535
100% Corpus,2,0.9099999999999999,0.9099999999999999,-5.36554071906371
100% Corpus,2,0.9099999999999999,symmetric,-5.160673616922347
100% Corpus,2,symmetric,0.01,-5.073421463055325
100% Corpus,2,symmetric,0.31,-5.602972199141615
100% Corpus,2,symmetric,0.61,-5.096548775901004
100% Corpus,2,symmetric,0.9099999999999999,-5.022381605822129
100% Corpus,2,symmetric,symmetric,-5.214454353095288
100% Corpus,2,asymmetric,0.01,-5.710044007148368
100% Corpus,2,asymmetric,0.31,-5.637322404625326
