Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.31,-7.088136699014086
100% Corpus,9,0.31,0.61,-6.904860573149357
100% Corpus,9,0.31,0.9099999999999999,-6.858674348342562
100% Corpus,9,0.31,symmetric,-7.152065300925265
100% Corpus,9,0.61,0.01,-6.92953994114085
100% Corpus,9,0.61,0.31,-6.3506426737237485
100% Corpus,9,0.61,0.61,-5.860890898280745
100% Corpus,9,0.61,0.9099999999999999,-5.771995110487466
100% Corpus,9,0.61,symmetric,-6.9177936963039395
100% Corpus,9,0.9099999999999999,0.01,-5.806480248916182
100% Corpus,9,0.9099999999999999,0.31,-5.340694324284824
100% Corpus,9,0.9099999999999999,0.61,-5.3307406493490825
100% Corpus,9,0.9099999999999999,0.9099999999999999,-5.48713586368935
100% Corpus,9,0.9099999999999999,symmetric,-5.686090789178659
100% Corpus,9,symmetric,0.01,-7.539332653997331
100% Corpus,9,symmetric,0.31,-8.166844353533854
100% Corpus,9,symmetric,0.61,-7.601223178469267
100% Corpus,9,symmetric,0.9099999999999999,-7.002332592260193
100% Corpus,9,symmetric,symmetric,-8.410719161466366
100% Corpus,9,asymmetric,0.01,-7.658385265704703
100% Corpus,9,asymmetric,0.31,-10.267218636646172
100% Corpus,9,asymmetric,0.61,-10.378699998159366
100% Corpus,9,asymmetric,0.9099999999999999,-10.3904968972804
100% Corpus,9,asymmetric,symmetric,-8.9794397985789
100% Corpus,10,0.01,0.01,-7.477218510313546
100% Corpus,10,0.01,0.31,-7.577156044320665
100% Corpus,10,0.01,0.61,-7.612393970933548
100% Corpus,10,0.01,0.9099999999999999,-7.668865901632303
100% Corpus,10,0.01,symmetric,-7.852166196894506
100% Corpus,10,0.31,0.01,-6.932844828635412
100% Corpus,10,0.31,0.31,-7.044715608789245
100% Corpus,10,0.31,0.61,-7.092807562145111
100% Corpus,10,0.31,0.9099999999999999,-6.894441993844057
100% Corpus,10,0.31,symmetric,-6.795418347524394
100% Corpus,10,0.61,0.01,-6.963676041601575
100% Corpus,10,0.61,0.31,-6.344164951078422
100% Corpus,10,0.61,0.61,-5.675713940559094
100% Corpus,10,0.61,0.9099999999999999,-5.513609972943159
100% Corpus,10,0.61,symmetric,-6.86842037885601
100% Corpus,10,0.9099999999999999,0.01,-5.8374231534268874
100% Corpus,10,0.9099999999999999,0.31,-5.376838219640082
100% Corpus,10,0.9099999999999999,0.61,-5.468153481010235
100% Corpus,10,0.9099999999999999,0.9099999999999999,-5.435527230275822
100% Corpus,10,0.9099999999999999,symmetric,-5.780207266775103
100% Corpus,10,symmetric,0.01,-7.825354126112819
100% Corpus,10,symmetric,0.31,-8.376275134157478
100% Corpus,10,symmetric,0.61,-8.26134106119468
100% Corpus,10,symmetric,0.9099999999999999,-7.55356592379577
100% Corpus,10,symmetric,symmetric,-8.307767836864478
100% Corpus,10,asymmetric,0.01,-7.7064133168959446
100% Corpus,10,asymmetric,0.31,-9.809369015003423
100% Corpus,10,asymmetric,0.61,-11.411678282222937
100% Corpus,10,asymmetric,0.9099999999999999,-10.333242399227506
100% Corpus,10,asymmetric,symmetric,-9.199779559374184
