Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.31,-17.531723883629002
100% Corpus,9,0.31,0.61,-17.535145810375283
100% Corpus,9,0.31,0.9099999999999999,-17.509107894773493
100% Corpus,9,0.31,symmetric,-17.440749230765537
100% Corpus,9,0.61,0.01,-17.060639188078415
100% Corpus,9,0.61,0.31,-18.14932093624522
100% Corpus,9,0.61,0.61,-18.18496561476348
100% Corpus,9,0.61,0.9099999999999999,-18.18946487387454
100% Corpus,9,0.61,symmetric,-17.898189646046053
100% Corpus,9,0.9099999999999999,0.01,-17.060639188078415
100% Corpus,9,0.9099999999999999,0.31,-18.190803680086926
100% Corpus,9,0.9099999999999999,0.61,-18.184711613245366
100% Corpus,9,0.9099999999999999,0.9099999999999999,-18.195348644784797
100% Corpus,9,0.9099999999999999,symmetric,-18.185532768439376
100% Corpus,9,symmetric,0.01,-17.060639188078415
100% Corpus,9,symmetric,0.31,-17.463586806290593
100% Corpus,9,symmetric,0.61,-17.43228295876714
100% Corpus,9,symmetric,0.9099999999999999,-17.474499608749742
100% Corpus,9,symmetric,symmetric,-17.514033065401286
100% Corpus,9,asymmetric,0.01,-17.060639188078415
100% Corpus,9,asymmetric,0.31,-17.47798876737939
100% Corpus,9,asymmetric,0.61,-17.479473670514917
100% Corpus,9,asymmetric,0.9099999999999999,-17.471306432345994
100% Corpus,9,asymmetric,symmetric,-17.418216466860557
100% Corpus,10,0.01,0.01,-17.06063918807842
100% Corpus,10,0.01,0.31,-17.42453006452012
100% Corpus,10,0.01,0.61,-17.417774452543206
100% Corpus,10,0.01,0.9099999999999999,-17.45324903896667
100% Corpus,10,0.01,symmetric,-17.06063918807842
100% Corpus,10,0.31,0.01,-17.06063918807842
100% Corpus,10,0.31,0.31,-17.50198892909149
100% Corpus,10,0.31,0.61,-17.482190346302115
100% Corpus,10,0.31,0.9099999999999999,-17.488269254931094
100% Corpus,10,0.31,symmetric,-17.437533845833904
100% Corpus,10,0.61,0.01,-17.06063918807842
100% Corpus,10,0.61,0.31,-18.18186083428332
100% Corpus,10,0.61,0.61,-18.19288640173303
100% Corpus,10,0.61,0.9099999999999999,-18.192641664666688
100% Corpus,10,0.61,symmetric,-17.863030142213578
100% Corpus,10,0.9099999999999999,0.01,-17.06063918807842
100% Corpus,10,0.9099999999999999,0.31,-18.185331523959345
100% Corpus,10,0.9099999999999999,0.61,-18.184412317636312
100% Corpus,10,0.9099999999999999,0.9099999999999999,-18.189970922164743
100% Corpus,10,0.9099999999999999,symmetric,-18.199152613276166
100% Corpus,10,symmetric,0.01,-17.06063918807842
100% Corpus,10,symmetric,0.31,-17.459947624900863
100% Corpus,10,symmetric,0.61,-17.4548282032036
100% Corpus,10,symmetric,0.9099999999999999,-17.46762953955063
100% Corpus,10,symmetric,symmetric,-17.631152679095734
100% Corpus,10,asymmetric,0.01,-17.06063918807842
100% Corpus,10,asymmetric,0.31,-17.39549182124083
100% Corpus,10,asymmetric,0.61,-17.4130115932583
100% Corpus,10,asymmetric,0.9099999999999999,-17.40026912193079
100% Corpus,10,asymmetric,symmetric,-17.534886342120807
