Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,symmetric,symmetric,-17.895254841314927
75% Corpus,4,asymmetric,0.01,-17.060639188078415
75% Corpus,4,asymmetric,0.31,-17.903225268246842
75% Corpus,4,asymmetric,0.61,-17.858163883398902
75% Corpus,4,asymmetric,0.9099999999999999,-17.90758545652325
75% Corpus,4,asymmetric,symmetric,-17.909200291163298
75% Corpus,5,0.01,0.01,-17.060639188078415
75% Corpus,5,0.01,0.31,-17.760726326803923
75% Corpus,5,0.01,0.61,-17.798591719619406
75% Corpus,5,0.01,0.9099999999999999,-17.79927931268634
75% Corpus,5,0.01,symmetric,-17.789569862356405
75% Corpus,5,0.31,0.01,-17.060639188078415
75% Corpus,5,0.31,0.31,-17.74952831650109
75% Corpus,5,0.31,0.61,-17.742083573931993
75% Corpus,5,0.31,0.9099999999999999,-17.777190651400275
75% Corpus,5,0.31,symmetric,-17.749988514893825
75% Corpus,5,0.61,0.01,-17.060639188078415
75% Corpus,5,0.61,0.31,-17.860728092436684
75% Corpus,5,0.61,0.61,-17.78503467082394
75% Corpus,5,0.61,0.9099999999999999,-17.82298006064781
75% Corpus,5,0.61,symmetric,-17.830416469642017
75% Corpus,5,0.9099999999999999,0.01,-17.060639188078415
75% Corpus,5,0.9099999999999999,0.31,-19.012545706768634
75% Corpus,5,0.9099999999999999,0.61,-19.009937143115376
75% Corpus,5,0.9099999999999999,0.9099999999999999,-19.019057482956313
75% Corpus,5,0.9099999999999999,symmetric,-19.01672891542643
75% Corpus,5,symmetric,0.01,-17.060639188078415
75% Corpus,5,symmetric,0.31,-17.778811745913682
75% Corpus,5,symmetric,0.61,-17.759227672191805
75% Corpus,5,symmetric,0.9099999999999999,-17.76250442001222
75% Corpus,5,symmetric,symmetric,-17.75974022433047
75% Corpus,5,asymmetric,0.01,-17.060639188078415
75% Corpus,5,asymmetric,0.31,-17.766472124056893
75% Corpus,5,asymmetric,0.61,-17.790255488117385
75% Corpus,5,asymmetric,0.9099999999999999,-17.796373432757292
75% Corpus,5,asymmetric,symmetric,-17.780350126152907
75% Corpus,6,0.01,0.01,-17.060639188078415
75% Corpus,6,0.01,0.31,-17.634286823308738
75% Corpus,6,0.01,0.61,-17.661050464010113
75% Corpus,6,0.01,0.9099999999999999,-17.68116271454186
75% Corpus,6,0.01,symmetric,-17.672007047086762
75% Corpus,6,0.31,0.01,-17.060639188078415
75% Corpus,6,0.31,0.31,-17.64387248825584
75% Corpus,6,0.31,0.61,-17.65939119474432
75% Corpus,6,0.31,0.9099999999999999,-17.65271125527726
75% Corpus,6,0.31,symmetric,-17.655150479445783
75% Corpus,6,0.61,0.01,-17.060639188078415
75% Corpus,6,0.61,0.31,-17.738510848618684
75% Corpus,6,0.61,0.61,-17.704532005775146
75% Corpus,6,0.61,0.9099999999999999,-17.932535657631185
75% Corpus,6,0.61,symmetric,-17.72074272598331
75% Corpus,6,0.9099999999999999,0.01,-17.060639188078415
75% Corpus,6,0.9099999999999999,0.31,-18.993210710028
75% Corpus,6,0.9099999999999999,0.61,-18.998967010275365
75% Corpus,6,0.9099999999999999,0.9099999999999999,-19.018324667691687
75% Corpus,6,0.9099999999999999,symmetric,-19.023197939917196
75% Corpus,6,symmetric,0.01,-17.060639188078415
75% Corpus,6,symmetric,0.31,-17.6345508525016
75% Corpus,6,symmetric,0.61,-17.668244823130767
75% Corpus,6,symmetric,0.9099999999999999,-17.67287891865588
75% Corpus,6,symmetric,symmetric,-17.632672968728354
75% Corpus,6,asymmetric,0.01,-17.060639188078415
75% Corpus,6,asymmetric,0.31,-17.64371790234868
75% Corpus,6,asymmetric,0.61,-17.666915517382044
75% Corpus,6,asymmetric,0.9099999999999999,-17.632762194602567
75% Corpus,6,asymmetric,symmetric,-17.614120321382902
75% Corpus,7,0.01,0.01,-17.060639188078415
75% Corpus,7,0.01,0.31,-17.58055126936255
75% Corpus,7,0.01,0.61,-17.55723457100719
75% Corpus,7,0.01,0.9099999999999999,-17.55211999875575
75% Corpus,7,0.01,symmetric,-17.4508544423976
75% Corpus,7,0.31,0.01,-17.060639188078415
75% Corpus,7,0.31,0.31,-17.538997739627398
75% Corpus,7,0.31,0.61,-17.565333309392063
75% Corpus,7,0.31,0.9099999999999999,-17.560654305429278
75% Corpus,7,0.31,symmetric,-17.543806280169044
75% Corpus,7,0.61,0.01,-17.060639188078415
75% Corpus,7,0.61,0.31,-18.50226374836915
75% Corpus,7,0.61,0.61,-18.872584808499358
75% Corpus,7,0.61,0.9099999999999999,-18.914237549392077
75% Corpus,7,0.61,symmetric,-17.72454550550338
75% Corpus,7,0.9099999999999999,0.01,-17.060639188078415
75% Corpus,7,0.9099999999999999,0.31,-18.98068928180094
75% Corpus,7,0.9099999999999999,0.61,-19.020220407895824
75% Corpus,7,0.9099999999999999,0.9099999999999999,-18.97736861316491
75% Corpus,7,0.9099999999999999,symmetric,-19.005217181502626
75% Corpus,7,symmetric,0.01,-17.060639188078415
75% Corpus,7,symmetric,0.31,-17.566370949504694
75% Corpus,7,symmetric,0.61,-17.61660804397885
75% Corpus,7,symmetric,0.9099999999999999,-17.584644638389186
75% Corpus,7,symmetric,symmetric,-17.564307021248712
75% Corpus,7,asymmetric,0.01,-17.060639188078415
75% Corpus,7,asymmetric,0.31,-17.55590074755453
75% Corpus,7,asymmetric,0.61,-17.57235193389641
75% Corpus,7,asymmetric,0.9099999999999999,-17.55051262355571
75% Corpus,7,asymmetric,symmetric,-17.40267213402324
75% Corpus,8,0.01,0.01,-17.060639188078415
75% Corpus,8,0.01,0.31,-17.509364382625577
75% Corpus,8,0.01,0.61,-17.493740483139227
75% Corpus,8,0.01,0.9099999999999999,-17.485613879878624
75% Corpus,8,0.01,symmetric,-17.352024905185523
75% Corpus,8,0.31,0.01,-17.060639188078415
75% Corpus,8,0.31,0.31,-17.494426997448493
75% Corpus,8,0.31,0.61,-17.498995032210868
75% Corpus,8,0.31,0.9099999999999999,-17.485841748755227
75% Corpus,8,0.31,symmetric,-17.486147102984013
75% Corpus,8,0.61,0.01,-17.060639188078415
75% Corpus,8,0.61,0.31,-18.80430509510445
75% Corpus,8,0.61,0.61,-18.993103266333268
75% Corpus,8,0.61,0.9099999999999999,-18.98419519478621
75% Corpus,8,0.61,symmetric,-18.216522881671814
75% Corpus,8,0.9099999999999999,0.01,-17.060639188078415
75% Corpus,8,0.9099999999999999,0.31,-19.020082270848835
75% Corpus,8,0.9099999999999999,0.61,-19.007815836153217
75% Corpus,8,0.9099999999999999,0.9099999999999999,-19.012257933428856
75% Corpus,8,0.9099999999999999,symmetric,-19.026970636988267
75% Corpus,8,symmetric,0.01,-17.060639188078415
75% Corpus,8,symmetric,0.31,-17.48714320064491
75% Corpus,8,symmetric,0.61,-17.477990866814462
75% Corpus,8,symmetric,0.9099999999999999,-17.49123047496945
75% Corpus,8,symmetric,symmetric,-17.522831101715155
75% Corpus,8,asymmetric,0.01,-17.060639188078415
75% Corpus,8,asymmetric,0.31,-17.499055051143685
75% Corpus,8,asymmetric,0.61,-17.474972922917008
75% Corpus,8,asymmetric,0.9099999999999999,-17.52307004937034
75% Corpus,8,asymmetric,symmetric,-17.396521588740164
75% Corpus,9,0.01,0.01,-17.060639188078415
75% Corpus,9,0.01,0.31,-17.434849148578156
75% Corpus,9,0.01,0.61,-17.436746629496117
